DONE32d1fbd42cc406f8f2e3029b5873dd8efaa50b7f3ca573a882c9faf290f8b
,R0003,R0013,R0027,R0028,R0059,R0064,R0090,R0002,R0004
NA19152,0.9199990800000001,1.5667237080000007,1.4046509706363053,4.643322839616752,1.2987,1.2913840927427285,1.2341504605839855,1.0000875038282366,1.0000476201338027
NA19139,0.9199990800000001,2.335045014403201,1.1574072115493186,4.739644717021677,1.2987,1.1130558434162632,1.1062617597054387,0.9978687144213111,1.001744379663215
NA18912,1.0222212000000002,1.9835584560000004,1.0472143235750713,4.7914462847185435,1.17,1.3197589092925175,1.1052815251359127,0.9990481512956467,0.9854919705624268
NA19160,0.7999992000000001,1.5524807652000006,1.0830213296264213,4.094283310244402,1.2987,1.063786666255805,1.0175351946462527,1.0007137526002468,0.9903421792159984
NA07055,0.828828,1.6920616046400008,1.0597436407520442,5.7093991649797955,1.2987,0.9780252592376464,1.012042000071629,1.0021966992161528,0.9986247565152133
NA12814,0.9199990800000001,3.481832321876901,0.748810744626644,6.623491279358688,1.11,1.11096896340641,1.1133503795773356,1.0005874754961743,0.9941410410369882
NA10847,0.9199990800000001,2.336173055472961,1.4269583228529237,4.643751730552201,1.0,1.369071475927031,1.3511815368526494,0.9990964614370117,0.9918949246890091
NA18532,0.7999992000000001,1.9301112216000003,0.7382051686408612,5.851129397702949,1.0,1.3416523055988414,1.0032160142199245,0.9975573780677569,0.9930528140468491
NA18561,0.9199990800000001,2.123122343760001,1.2712104032630354,5.900794262670285,1.11,0.9908909823969204,1.0784837001196612,0.998109569119617,0.9995810397883502
NA18942,0.9199990800000001,2.1620787170400004,1.1026381519610706,6.0633206323241735,1.11,0.9077533829160978,0.8647456103930223,0.9981920862484946,0.9987674302388705
NA18940,0.9199990800000001,2.957723684910721,0.7624639341176137,5.113119909497758,1.17,1.1451070043017384,1.1617270707802922,1.0002550525203646,0.9956855242084974
NA18515,1.0222212000000002,2.1043093410432006,0.9785321831459578,4.882728331120442,1.17,1.0671306701992866,1.5389023712096292,0.9966416718413835,1.0091895873453325
NA19222,0.9199990800000001,2.547321833894401,1.3203719123981268,3.3494412011917007,1.17,1.6295545404956249,1.2632211638512643,1.0008533839250313,0.9936724835807109
NA18508,1.0222212000000002,2.6888397135552,1.1374349927068237,4.639410008376515,1.0,1.1654527579498724,1.3669226195919917,0.9992444785501658,0.9995953199050872
NA19129,0.9199990800000001,2.1043093410432006,0.8084416261429278,4.600344563872636,1.2987,1.2651831710323893,1.5448651607739234,1.000088622626753,1.0090165968026819
NA12056,0.9199990800000001,2.143278032544001,0.9914786005241042,6.931407366547954,1.11,1.0359268583291783,1.22441088158186,0.997657278465526,0.9931284776231187
NA10863,0.9199990800000001,2.2929721312608007,0.9480069090413362,6.347442643358931,1.2987,1.128490086076955,1.3945379482300146,0.9975427041066528,0.993147396900823
NA12006,0.7999992000000001,2.123614931328001,0.9178706462662198,6.195994889061243,1.2987,1.2488116886554155,1.4036719729470415,0.999372653863926,1.0017396113713164
NA18605,0.9199990800000001,3.2239188165526858,1.314614646163613,5.790721754308939,1.2987,1.2023005550911963,1.0404016142936632,0.9994307720717239,0.9981540857991142
NA18542,0.9199990800000001,3.194341579703578,1.3582293876269624,5.804718177578238,1.11,1.0428246141145874,0.9530543747878891,0.997595904477638,0.9994382528390496
NA18945,0.9199990800000001,2.2223652479999996,0.8755197952048062,6.900720149884016,1.11,1.0112808407309128,1.1091672957056415,0.9995492156338168,1.0006525938467679
NA18949,0.7999992000000001,2.1620787170400004,1.5138099641595981,4.843771212548361,1.17,1.1939487037048588,0.9610908196555734,0.9979271812620585,0.9993145210481166
NA19238,1.010988,2.6888397135552,1.4133514541900383,4.36860348215997,1.0,1.4230274234503906,1.2634375309949815,0.999428311476192,0.9848351620371034
NA19194,0.9199990800000001,3.194341579703578,1.1282049241009244,4.6377583850200255,1.2987,1.4874946315253312,1.3520606543212912,1.0005033796530363,1.0008384462997486
NA19142,0.9199990800000001,1.5523500960000005,0.9522463579567438,4.651037602382471,1.2987,1.3313257288623261,1.1931699686369832,1.0001501092652685,1.008973351278101
NA18913,0.7999992000000001,2.314740275147521,1.2323423578621708,4.411001862468497,1.17,1.4230274234503906,1.2685373043153145,0.999993867808802,1.0024124252262467
NA12145,0.8791200000000001,1.5667237080000007,0.8438081953892645,6.100020039802746,0.9657000000000001,1.5124430272045473,0.8120683409851336,0.9982415079621092,1.0185315162542155
NA12763,1.0454535,3.2239188165526858,0.4592915613200183,7.454532450815721,1.0,1.2250282036194693,0.7521945840298805,0.9969829105897029,0.9906865018075798
NA07357,0.9090900000000002,2.1227681949120005,0.9945300429458759,4.607644678589431,1.11,1.1492970072156867,1.2040075751223007,0.9974088727803181,0.9961550308962484
NA18550,0.9199990800000001,3.1367858755647755,0.9791462080302156,5.265446130771009,1.0,1.1072714925717562,0.9324817168800057,0.9966028334722024,1.0081136890044522
NA18608,0.7999992000000001,2.1424234559760005,0.9850702578429547,7.619315141491941,1.11,1.190739972830704,1.1670619816589436,0.9993395242102214,1.0020353986172674
NA18964,0.7999992000000001,1.63944,1.3165571703345176,8.264848716939275,1.11,1.0070010861149243,1.2479856482019303,0.9978463923478429,1.001911344294306
NA18953,0.7999992000000001,1.9478186640000004,0.7975254343778546,5.490775109313596,1.2987,1.166114810229229,0.9155753961018216,0.9984936456922968,0.9981968676000391
NA19154,0.9199990800000001,1.6920616046400008,1.1833521856398308,4.6003445638726355,1.2987,1.432575420215934,1.3416420015518182,0.9988773006989613,1.0194728704134706
NA19138,0.9199990800000001,2.335045014403201,1.0007656340464033,4.786062177747496,1.17,1.2849116656397344,0.9751743478107576,1.000243365608606,0.9993621085393197
